"3","Kidwai Nagar"
"8","National Archives"
"74","APS Colony"
"77","Kewal Park"
"93","Sir Chhotu Ram Polytechnic"
"107","ISBT Kashmere Gate"
"151","Shiv Enclave Dichau"
"163","Tikri Hospital"
"168","Kapashera Border"
"196","Seemapuri Old"
"327","Dichau Kalan School"
"334","Tikri Piyau / Azad Hind Gram"
"335","Mahipal Pur Crossing"
"375","T B Hospital"
"406","AIR Force Camp"
"421","Bakkar Garh Xing"
"434","Kapashera Crossing"
"451","FCI Ghevra"
"486","Exchange Store / Civil Lines Metro Station"
"487","Mall Road"
"537","Subroto Park (Arjun Path)"
"595","Ghevra Village"
"607","Kair Depot"
"611","Prithvi Raj Road Crossing"
"655","Kanjhawala Depot (Narela Road)"
"660","Mata DanKaur Public School"
"681","Balak Ram Hospital"
"718","IIT Gate (Aurobindo Marg)"
"731","Samaspur Khalsa"
"737","Vidhan Sabha Metro Station"
"740","Kanjhawala Haryana Shakti C-School"
"755","Yusuf Sarai"
"811","Claridges Hotel"
"817","Ajmeri Gate / Kamla Market"
"847","DDA Flats Lado Sarai"
"889","J  and  K Pocket Dilshad Garden"
"894","Kanjhawala Village"
"897","Indian Oil Bhawan"
"907","Tikari Village"
"932","ISTM"
"936","I P College"
"955","Mitraon School"
"1022","Sewa Kutir"
"1093","S.K.V.Dhansa"
"1100","Mehrauli Terminal"
"1202","Surehra Crossing"
"1267","Kapashera Village"
"1347","Nityanand Marg"
"1349","Dhansa Village"
"1395","Nirmal Vihar"
"1423","Kanjhawala Chowk"
"1427","Vasant Vihar Depot"
"1428","Shani Mandir / Vasant Village"
"1430","Indian Oil Corporation"
"1454","Qadipur"
"1459","PS Kamla Market"
"1488","Shankar Vihar / National Highway 8"
"1496","Ram Prastha Temple"
"1508","Padmani Enclave"
"1517","Timarpur"
"1654","SJ Airport"
"1661","Dichau Kalan Depot"
"1685","Mori Gate Terminal"
"1746","Safdurjung Hospital / AIIMS"
"1760","Surya Nagar"
"1763","Nehru Vihar"
"1863","Dilshad Garden Depot Cluster"
"1952","Old Secretariat (Postal Account Office)"
"1972","Desu Sub Station"
"2028","Banarsi Daas Estate Timarpur"
"2036","INS Hostel"
"2052","Samalkha Village"
"2075","ISBT Kashmere Gate Terminal"
"2102","The Uppal Hotel"
"2113","Jaffarpur RTRM Hospital"
"2135","National Museum"
"2155","Rangpuri"
"2177","Anand Vihar ISBT"
"2231","BBM Cluster Depot"
"2299","Qutub Minar"
"2302","Green Park/Metro Station"
"2316","Police Station Timarpur"
"2325","Dichau Village"
"2396","Ludlow Castle"
"2450","Dhansa Border"
"2451","Civil Line Metro Station"
"2465","Shadhara Bordar Road No 62"
"2508","Munirka Family Planning"
"2541","Vishwa Vidyalaya Metro Station"
"2547","Kair Village"
"2551","GPO"
"2580","Azadpur Terminal"
"2586","Dichau Chowk"
"2643","Ram Prastha Crossing"
"2784","Arjun Path"
"2801","Udaseen Ashram"
"2802","Old Delhi Railway Station"
"2806","Issapur Xing"
"2834","R K Puram Sec-5"
"2852","S J Madrasa"
"2853","Vivekanand Marg"
"2918","Hauz Khas"
"2919","New Seema Puri Depot Cluster"
"2939","PVC Market / Sarvodya Kanya Vidhyalaya"
"2943","Shivaji Park"
"2945","GTB Nagar / Haqiqat Nagar"
"2946","Prithvi Raj Road"
"2987","Guru Govind Singh University (Kashmere Gate)"
"3065","Kouria Bridge"
"3094","Nehru Vihar Xing"
"3103","Rawta Crossing"
"3111","Khyber Pass"
"3118","Swami Malai Mandir"
"3173","Mitraon Village (Kair Village Road)"
"3178","Mukundpur (Changeover Point)"
"3183","Kalyan Vihar Terminal"
"3221","Windsor Place"
"3278","Munirka DDA Flats"
"3377","NCERT"
"3448","Sanskrit Vidyapeeth"
"3469","Shiv Murti (NH-8)"
"3474","Western Court"
"3524","Adhchini Village"
"3763","FAI"
"3824","Qutub Hotel"
"3843","PTS"
"3904","Samalkha Crossing"
"3925","Ber Sarai"
"3928","Mothers International School"
"4177","School Of Physical Science"
"4192","IIT Gate"
"4232","Katwaria Sarai"
"4248","MMTC"
